Tipografía,Enlace,Fuente/Tipo
Futura,https://fontlibrary.org/en/search?query=Futura,FontLibrary (Open Source)
Gill Sans,https://fontlibrary.org/en/search?query=Gill%20Sans,FontLibrary (Open Source)
Helvetica,https://fontlibrary.org/en/search?query=Helvetica,FontLibrary (Open Source)
Palatino,https://fontlibrary.org/en/search?query=Palatino,FontLibrary (Open Source)
Times New Roman,https://fontlibrary.org/en/search?query=Times%20New%20Roman,FontLibrary (Open Source)
Brush Script,https://fontlibrary.org/en/search?query=Brush%20Script,FontLibrary (Open Source)
Mistral,https://fontlibrary.org/en/search?query=Mistral,FontLibrary (Open Source)
Univers,https://fontlibrary.org/en/search?query=Univers,FontLibrary (Open Source)
Impact,https://fontlibrary.org/en/search?query=Impact,FontLibrary (Open Source)
Comic Sans,https://fontlibrary.org/en/search?query=Comic%20Sans,FontLibrary (Open Source)
Montserrat,https://fonts.google.com/specimen/Montserrat,Google Fonts (Open Source)
Miliciana,https://fontlibrary.org/en/search?query=Miliciana,FontLibrary (Open Source)
