"Tipografía","Proveedor","URL","Licencia"
"DIN","GitHub","https://github.com/speters33w/d-din-font","Open Source (según repo)"
"Frutiger","DuckDuckGo","https://en.wikipedia.org/wiki/Frutiger_(typeface)","Desconocida"
"Gotham","DuckDuckGo","https://www.deefont.com/gotham-font-family/","Desconocida"
"Museo","DuckDuckGo","https://fonts.adobe.com/fonts/museo","Desconocida"
"Akzidenz Grotesk","DuckDuckGo","https://fontforfree.com/akzidenz-grotesk-font-family/","Desconocida"
"Australis","DuckDuckGo","https://www.dafont.com/australis.font","Desconocida"
"Miliciana","DuckDuckGo","https://www.dafont.com/dfdmiliciana.font","Desconocida"
"Pincoya Black","DuckDuckGo","https://www.dafont.com/pincoyablack.font","Desconocida"
"Chasquilla","DuckDuckGo","https://fontmeme.com/fonts/dfd-chasquilla-font/","Desconocida"
